name,category,price
Smoked Chilean Bass,Mazzes,28
Wings (GF),Mazzes,15
Zeytoun Parvadeh (GF),Mazzes,7
Omani Shrimp,Mazzes,22
Adana Bite,Mazzes,14
Falafel Plate (GF),Mazzes,26
Bandari Olovieh,Spreads,14
Hummus (GF),Spreads,10
Mast Khiyar (GF),Spreads,7
Kasha Bademjoon,Spreads,15
Dill Labneh (GF),Spreads,13
Labneh (GF),Spreads,11
Beet Carpaccio (GF),Greens & Grains,15
Adas Polo (GF),Greens & Grains,12
Sabzi Polo (GF),Greens & Grains,13
Polo Sefid (GF),Greens & Grains,8
Za'taar Fries (GF),Greens & Grains,12
Lamb & Baghali Tachin (GF),Greens & Grains,23
Pear and Kale (GF),Greens & Grains,16
Mixed Green Salad (GF),Greens & Grains,15
Whole Roasted Cauliflower,Greens & Grains,19
Heirloom Tomato Salad,Greens & Grains,15
Seabass,Meats & Seafood,47
Honey Harissa Chicken (GF),Meats & Seafood,27
Joojeh Kabob (GF),Meats & Seafood,26
Chicken Barg,Meats & Seafood,30
Chicken Kofta (GF),Meats & Seafood,20
Whole Stuffed Branzino (GF),Meats & Seafood,34
Salmon Kabob,Meats & Seafood,32
Chinjeh,Meats & Seafood,31
Beef Barg,Meats & Seafood,32
Hanger Steak (GF),Meats & Seafood,29
Gheimeh Bademjoon (GF),Meats & Seafood,31
Gheimeh Bademjoon Vegetarian,Meats & Seafood,18
Lamb Neck (GF),Meats & Seafood,31
Lamb Kabob,Meats & Seafood,32
Koobideh Kabob,Meats & Seafood,23
