id,name,grape,category,origin,price
1,Maresina Prosecco,Glera,Sparkling,"Veneto, Italy",64
2,Clara Vie Brut Rose,"Chardonnay, Chenin Blanc, Mauzac, Pinot Noir",Sparkling,"Limoux, France",68
3,Camille Braun Cremant D'alsace Brut,White Blend,Sparkling,"Alsace, France",75
4,Amalia Brut,Moschofilero,Sparkling,"Arcadia, Greece",100
5,Naveran Brut,Cava Blend,Sparkling,"Penedes, Spain",64
6,Telmont Reserve Brut,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",180
7,Taittinger Brut,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",200
8,Saint-Chamant Millesime 2011 Blanc de Blanc,Chardonnay,Sparkling,"Champagne, France",300
9,Billecart-Salmon Brut Rose,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",160
10,Dom Perignon Brut,"Pinot Noir, Chardonnay",Sparkling,"Champagne, France",375
11,Cora 2023,Pinot Grigio,White,"Abruzzo, Italy",56
12,Buketo White Wine 2024,"Assyrtiko, Malagousia, Sauvignon Blanc",White,"Macedonia, Greece",64
13,Domaine Durand Menetou-Salon 2024,Sauvignon Blanc,White,"Loire Valley, France",80
14,Patz & Hall 2022,Chardonnay,White,"Sonoma Coast, California",68
15,Yllera Vendimia Nocturna 2022,Sauvignon Blanc,White,"Rueda, Spain",43
16,Twomey 2023,Sauvignon Blanc,White,"Napa Valley, California",75
17,Augustine,Bordeaux Blanc,White,"Bordeaux, France",59
18,Jean Baptiste Gunderloch 2023,Riesling,White,"Rheinhessen, Germany",60
19,Valle Dell'Acate Belli Folli 2021,Insolia,White,"Sicily, Italy",45
20,Borgo Conventi 2021,Pinot Grigio,White,"Collio, Italy",59
21,Calvet 2023,Sauvignon Blanc,White,"Sancerre, France",98
22,Domaine Andre Neveu Les Longues Fins 2022,Sauvignon Blanc,White,"Sancerre, France",80
23,Massaya Blanc 2022,"Chardonnay, Clairette, Obediah",White,"Bekaa Valley, Lebanon",63
24,Bishop's Peak 2023,Chardonnay,White,"San Luis Obispo, California",63
25,Darioush 2023,Chardonnay,White,"Napa Valley, California",110
26,Daou Bodyguard 2021,Chardonnay,White,"Central Coast, California",99
27,Familia Torres Pazo das Bruxas 2023,Albarino,White,"Rias Baixas, Spain",64
28,Chateau Montaud 2023,"Grenache, Syrah, Cinsault",Rosé,"Provence, France",60
29,Driopi Nemea Rose 2023,Agiorgitiko,Rosé,"Peloponnese, Greece",68
30,Massaya Rose 2022,"Shiraz, Cabernet Sauvignon, Cinsault",Rosé,"Bekaa Valley, Lebanon",64
31,Bonny Doon 2023,"Grenache Blanc, Orange Muscat, Pinot Gris",Amber,"Central Coast, California",60
32,Domaine Cheysson Chiroubles 2023,Gamay,Red,"Beaujolais, France",48
33,"Love, Oregon 2023",Pinot Noir,Red,"Willamette Valley, Oregon",64
34,Twomey 2022,Pinot Noir,Red,"Russian River Valley, California",125
35,Daou Pessimist 2022,Red Blend,Red,"Paso Robles, California",67
36,Cliffs Edge 2021,Shiraz,Red,"Grampians, Australia",72
37,Vorspannhof Mayr 2019 (1L),Zweigelt,Red,"Weinland, Austria",54
38,Driopi Nemea 2023,Agiorgitiko,Red,"Arcadia, Greece",55
39,Arrayan 2019,"Syrah, Merlot, Cabernet Sauvignon",Red,"Mentrida, Spain",71
40,Massaya Terrasses de Baalback 2021,"Grenache, Mourvedre, Shiraz",Red,"Bekaa Valley, Lebanon",70
41,Syrocco by Alain Graillot 2022,Shiraz,Red,Morocco,75
42,Le Grand Bouqueteau Chinon Reserve 2021,Cabernet Franc,Red,"Chinon, France",45
43,Chateau Musar 2018,"Cabernet Sauvignon, Carignan, Cinsault",Red,"Bekaa Valley, Lebanon",250
44,The Prisoner 2022,Red Blend,Red,"Oakville, California",110
45,Korin Kameron 2018,Merlot,Red,"Sonoma County, California",120
46,Pueblo de Lavia 2019,Monastrell,Red,"Murcia, Spain",60
47,Montecastrillo 2023,Tempranillo,Red,"Ribera del Duero, Spain",63
48,Marcel 2022,Malbec,Red,"Cahors, France",60
