name,grape,category,origin,price,notes
Maresina Prosecco,Glera,Sparkling,"Veneto, Italy",64,"Light and refreshing with pear, apple, and soft floral notes."
Clara Vie Brut Rose,"Chardonnay, Chenin Blanc, Mauzac, Pinot Noir",Sparkling,"Limoux, France",68,Crisp and elegant with fresh red berries and a dry finish.
Camille Braun Cremant D'alsace Brut,White Blend,Sparkling,"Alsace, France",75,"Bright and refined with citrus, green apple, and fine bubbles."
Amalia Brut,Moschofilero,Sparkling,"Arcadia, Greece",100,"Aromatic and lively with rose petal, citrus, and refreshing acidity."
Naveran Brut,Cava Blend,Sparkling,"Penedes, Spain",64,"Dry and crisp with lemon zest, orchard fruit, and subtle toast."
Telmont Reserve Brut,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",180,"Elegant and balanced with citrus, brioche, and mineral freshness."
Taittinger Brut,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",200,"Refined and classic with peach, citrus, and a creamy finish."
Saint-Chamant Millesime 2011 Blanc de Blanc,Chardonnay,Sparkling,"Champagne, France",300,"Elegant and age-driven with lemon curd, chalky minerality, and depth."
Billecart-Salmon Brut Rose,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",160,Delicate and silky with wild strawberry and refined bubbles.
Dom Perignon Brut,"Pinot Noir, Chardonnay",Sparkling,"Champagne, France",375,"Complex and luxurious with stone fruit, brioche, and remarkable length."
Cora 2023,Pinot Grigio,White,"Abruzzo, Italy",56,"Crisp and refreshing with bright citrus, delicate florals, and a clean finish."
Buketo White Wine 2024,"Assyrtiko, Malagousia, Sauvignon Blanc",White,"Macedonia, Greece",64,"Fresh and aromatic with stone fruit, citrus zest, and lively minerality."
Domaine Durand Menetou-Salon 2024,Sauvignon Blanc,White,"Loire Valley, France",80,"Classic Loire Sauvignon Blanc with citrus, white flowers, and bright acidity."
Patz & Hall 2022,Chardonnay,White,"Sonoma Coast, California",68,"Elegant and balanced with pear, citrus, and subtle oak spice."
Yllera Vendimia Nocturna 2022,Sauvignon Blanc,White,"Rueda, Spain",43,"Vibrant and expressive with tropical fruit, citrus, and crisp freshness."
Twomey 2023,Sauvignon Blanc,White,"Napa Valley, California",75,"Bright and refined with white peach, citrus, and a mineral-driven finish."
Augustine,Bordeaux Blanc,White,"Bordeaux, France",59,"Fresh and aromatic with pear, white peach, and gentle herbal notes."
Jean Baptiste Gunderloch 2023,Riesling,White,"Rheinhessen, Germany",60,"Lively and aromatic with citrus, florals, and refreshing acidity."
Valle Dell'Acate Belli Folli 2021,Insolia,White,"Sicily, Italy",45,"Bright and Mediterranean with citrus, white peach, and subtle minerality."
Borgo Conventi 2021,Pinot Grigio,White,"Collio, Italy",59,"Elegant and mineral-driven with pear, apple, and almond notes."
Calvet 2023,Sauvignon Blanc,White,"Sancerre, France",98,"Crisp and classic with lemon, flinty minerality, and a clean finish."
Domaine Andre Neveu Les Longues Fins 2022,Sauvignon Blanc,White,"Sancerre, France",80,"Focused and refined with citrus blossom, stone fruit, and mineral depth."
Massaya Blanc 2022,"Chardonnay, Clairette, Obediah",White,"Bekaa Valley, Lebanon",63,Balanced and expressive with ripe orchard fruit and a polished finish.
Bishop's Peak 2023,Chardonnay,White,"San Luis Obispo, California",63,"Fresh and approachable with green apple, citrus, and light oak."
Darioush 2023,Chardonnay,White,"Napa Valley, California",110,"Rich and luxurious with baked pear, vanilla, and a long, silky finish."
Daou Bodyguard 2021,Chardonnay,White,"Central Coast, California",99,"Creamy and bold with tropical fruit, oak spice, and balanced acidity."
Familia Torres Pazo das Bruxas 2023,Albarino,White,"Rias Baixas, Spain",64,"Bright and coastal with citrus, white peach, and saline minerality."
Chateau Montaud 2023,"Grenache, Syrah, Cinsault",Rosé,"Provence, France",60,"Dry and refreshing with strawberry, citrus, and floral lift."
Driopi Nemea Rose 2023,Agiorgitiko,Rosé,"Peloponnese, Greece",68,Bright and vibrant with fresh red berries and crisp acidity.
Massaya Rose 2022,"Shiraz, Cabernet Sauvignon, Cinsault",Rosé,"Bekaa Valley, Lebanon",64,"Balanced and refreshing with red fruit, citrus, and subtle spice."
Bonny Doon 2023,"Grenache Blanc, Orange Muscat, Pinot Gris",Amber,"Central Coast, California",60,"Textured and dry with stone fruit, orange peel, and floral notes."
Domaine Cheysson Chiroubles 2023,Gamay,Red,"Beaujolais, France",48,"Light and lively with fresh cherry, raspberry, and floral notes."
"Love, Oregon 2023",Pinot Noir,Red,"Willamette Valley, Oregon",64,"Elegant and smooth with red berries, soft spice, and earth."
Twomey 2022,Pinot Noir,Red,"Russian River Valley, California",125,"Silky and refined with ripe cherry, subtle oak, and length."
Daou Pessimist 2022,Red Blend,Red,"Paso Robles, California",67,"Rich and smooth with dark fruit, cocoa, and spice."
Cliffs Edge 2021,Shiraz,Red,"Grampians, Australia",72,"Bold and savory with blackberry, pepper, and firm structure."
Vorspannhof Mayr 2019 (1L),Zweigelt,Red,"Weinland, Austria",54,Juicy and easy-drinking with sour cherry and fresh acidity.
Driopi Nemea 2023,Agiorgitiko,Red,"Arcadia, Greece",55,Medium-bodied and smooth with ripe cherry and gentle spice.
Arrayan 2019,"Syrah, Merlot, Cabernet Sauvignon",Red,"Mentrida, Spain",71,"Structured and expressive with dark berries, herbs, and spice."
Massaya Terrasses de Baalback 2021,"Grenache, Mourvedre, Shiraz",Red,"Bekaa Valley, Lebanon",70,"Balanced and savory with blackberry, earth, and spice."
Syrocco by Alain Graillot 2022,Shiraz,Red,Morocco,75,"Savory and elegant with black olive, pepper, and freshness."
Le Grand Bouqueteau Chinon Reserve 2021,Cabernet Franc,Red,"Chinon, France",45,"Fresh and classic with red currant, herbs, and lively acidity."
Chateau Musar 2018,"Cabernet Sauvignon, Carignan, Cinsault",Red,"Bekaa Valley, Lebanon",250,"Complex and evolving with dried fruit, spice, and earth."
The Prisoner 2022,Red Blend,Red,"Oakville, California",110,Full-bodied and plush with ripe dark fruit and sweet spice.
Korin Kameron 2018,Merlot,Red,"Sonoma County, California",120,"Rich and polished with black cherry, mocha, and soft tannins."
Pueblo de Lavia 2019,Monastrell,Red,"Murcia, Spain",60,Concentrated and bold with dark fruit and earthy spice.
Montecastrillo 2023,Tempranillo,Red,"Ribera del Duero, Spain",63,"Smooth and modern with ripe cherry, vanilla, and balance."
Marcel 2022,Malbec,Red,"Cahors, France",60,Structured and earthy with dark plum and firm tannins.
Chateau Musar Musar Jeune 2022,"Cabernet, Syrah, Cinsault",Red,"Bekaa Valley, Lebanon",71,Fresh and vibrant with red fruit and youthful energy.
Brancatelli Valle delle Stelle 2021,Cabernet Sauvignon,Red,"Tuscany, Italy",60,"Classic and structured with blackcurrant, herbs, and spice."
Darioush Caravan 2020,Cabernet Sauvignon,Red,"Napa Valley, California",190,"Bold and polished with blackberry, cedar, and spice."
Scattered Peaks 2022,Cabernet Sauvignon,Red,"Napa Valley, California",79,Rich and smooth with dark fruit and toasted oak.
Domaine de Pierredon Cotes du Rhone 2023,"Grenache, Mourvedre",Red,"Rhone Valley, France",55,Easy-drinking and savory with red fruit and pepper.
Can Feixes 2021,"Tempranillo, Merlot",Red,"Penedes, Spain",55,Balanced and earthy with ripe fruit and subtle oak.
Turnbull 2022,Cabernet Sauvignon,Red,"Napa Valley, California",130,"Classic Napa style with cassis, cedar, and structure."
Ashes & Diamonds Rouge No.5,"Cabernet Franc, Merlot",Red,"Napa Valley, California",160,Elegant and restrained with dark fruit and savory notes.
Textbook 2022,Cabernet Sauvignon,Red,"Paso Robles, California",80,"Full-bodied and smooth with blackberry, cocoa, and spice."
Stag's Leap Wine Cellars Artemis 2021,Cabernet Sauvignon,Red,"Napa Valley, California",155,"Polished and powerful with dark fruit, mocha, and length."
San Simeon Estate Reserve 2022,Cabernet Sauvignon,Red,"Paso Robles, California",77,Approachable and rich with ripe berry and soft spice.
Clos du Val 2022,Cabernet Sauvignon,Red,"Napa Valley, California",99,"Elegant and balanced with cassis, earth, and refinement."
Daou Soul of a Lion 2019,Cabernet Sauvignon,Red,"Paso Robles, California",290,Powerful and luxurious with concentrated dark fruit and depth.
Silver Oak 2019,Cabernet Sauvignon,Red,"Alexander Valley, California",185,"Classic and smooth with blackberry, vanilla, and oak spice."
Silver Oak 2019,Cabernet Sauvignon,Red,"Napa Valley, California",325,Structured and age-worthy with dark fruit and refined oak.
Cain Five 2009,Red Blend,Red,"Napa Valley, California",275,Complex and mature with savory depth and long finish.
Darioush 2021,Cabernet Sauvignon,Red,"Napa Valley, California",360,"Bold and refined with cassis, cedar, and floral lift."
Darioush 2019,Shiraz,Red,"Napa Valley, California",330,"Rich and expressive with black plum, spice, and power."
