id,name,grape,category,origin,price,notes
1,Maresina Prosecco,Glera,Sparkling,"Veneto, Italy",64,"Light and refreshing with pear, apple, and soft floral notes."
2,Clara Vie Brut Rose,"Chardonnay, Chenin Blanc, Mauzac, Pinot Noir",Sparkling,"Limoux, France",68,Crisp and elegant with fresh red berries and a dry finish.
3,Camille Braun Cremant D'alsace Brut,White Blend,Sparkling,"Alsace, France",75,"Bright and refined with citrus, green apple, and fine bubbles."
4,Amalia Brut,Moschofilero,Sparkling,"Arcadia, Greece",100,"Aromatic and lively with rose petal, citrus, and refreshing acidity."
5,Naveran Brut,Cava Blend,Sparkling,"Penedes, Spain",64,"Dry and crisp with lemon zest, orchard fruit, and subtle toast."
6,Telmont Reserve Brut,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",180,"Elegant and balanced with citrus, brioche, and mineral freshness."
7,Taittinger Brut,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",200,"Refined and classic with peach, citrus, and a creamy finish."
8,Saint-Chamant Millesime 2011 Blanc de Blanc,Chardonnay,Sparkling,"Champagne, France",300,"Elegant and age-driven with lemon curd, chalky minerality, and depth."
9,Billecart-Salmon Brut Rose,"Chardonnay, Meunier, Pinot Noir",Sparkling,"Champagne, France",160,Delicate and silky with wild strawberry and refined bubbles.
10,Dom Perignon Brut,"Pinot Noir, Chardonnay",Sparkling,"Champagne, France",375,"Complex and luxurious with stone fruit, brioche, and remarkable length."
